"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO","2406155",3851,3582,1878,1704,1003,1832,747,477,860,367
2015,"MUNICIPIO","2406205",6692,6227,3132,3095,1838,3287,1102,906,1620,569
2015,"MUNICIPIO","2406304",7478,6989,3565,3424,2109,3580,1300,1045,1716,663
2015,"MUNICIPIO","2406403",2765,2668,1367,1301,732,1385,551,356,649,296
2015,"MUNICIPIO","2406502",15274,13983,6924,7059,3917,7505,2561,1909,3778,1372
2015,"MUNICIPIO","2406601",8142,7564,3800,3764,2181,4009,1374,1098,1960,706
2015,"MUNICIPIO","2406700",11151,10381,5164,5217,2576,5485,2320,1266,2724,1227
2015,"MUNICIPIO","2406809",4803,4612,2348,2264,1148,2419,1045,534,1173,557
2015,"MUNICIPIO","2406908",3933,3633,1829,1804,900,1960,773,430,956,418
2015,"MUNICIPIO","2407005",10129,9610,4723,4887,2610,4941,2059,1300,2454,1133
2015,"MUNICIPIO","2407104",78021,69467,34434,35033,18726,39118,11623,9237,19574,6222
2015,"MUNICIPIO","2407203",31318,28954,14182,14772,6943,16337,5674,3428,8264,3080
2015,"MUNICIPIO","2407252",3906,3536,1749,1787,935,1770,831,443,911,433
2015,"MUNICIPIO","2407302",8499,8265,4064,4201,2085,4195,1985,1060,2108,1033
2015,"MUNICIPIO","2407401",8706,8218,4043,4175,1975,4149,2094,998,2045,1132
2015,"MUNICIPIO","2407500",11831,10441,5350,5091,3245,5503,1693,1580,2667,844
2015,"MUNICIPIO","2407609",4530,4188,2119,2069,1125,2255,808,537,1123,409
2015,"MUNICIPIO","2407708",11572,11413,5665,5748,3339,5822,2252,1695,2840,1213
2015,"MUNICIPIO","2407807",22155,20685,10275,10410,5814,11068,3803,2883,5509,2018
2015,"MUNICIPIO","2407906",2219,2261,1154,1107,612,1249,400,282,626,199
2015,"MUNICIPIO","2408003",288162,259815,125747,134068,60970,153348,45497,29729,78791,25548
2015,"MUNICIPIO","2408102",869954,803739,377947,425792,174879,469090,159770,85885,246739,93168
2015,"MUNICIPIO","2408201",26606,23784,12288,11496,6765,13142,3877,3306,6181,2009
2015,"MUNICIPIO","2408300",37395,35490,17499,17991,9692,18938,6860,4764,9522,3705
2015,"MUNICIPIO","2408409",4370,4295,2211,2084,980,2172,1143,450,1042,592
2015,"MUNICIPIO","2408508",4871,4699,2354,2345,1027,2413,1259,506,1170,669
2015,"MUNICIPIO","2408607",4222,3952,2041,1911,1013,2016,923,474,966,471
2015,"MUNICIPIO","2408706",3891,3859,1925,1934,960,2058,841,464,1027,443
2015,"MUNICIPIO","2408805",5173,4845,2434,2411,1549,2404,892,787,1165,459
2015,"MUNICIPIO","2408904",21483,20354,9961,10393,4905,11010,4439,2450,5495,2448
2015,"MUNICIPIO","2408953",10758,10059,5134,4925,3293,5236,1530,1600,2530,795
2015,"MUNICIPIO","2409100",12655,11100,5508,5592,2785,6118,2197,1354,3086,1152
2015,"MUNICIPIO","2409209",3075,2895,1454,1441,769,1531,595,373,755,313
2015,"MUNICIPIO","2409308",12706,11964,5886,6078,2976,6413,2575,1454,3232,1392
2015,"MUNICIPIO","2409332",5341,4762,2419,2343,1375,2481,906,659,1222,462
2015,"MUNICIPIO","2409407",29954,27745,13516,14229,6451,15631,5663,3089,8010,3130
2015,"MUNICIPIO","2409506",3429,3521,1772,1749,1047,1883,591,525,919,305
2015,"MUNICIPIO","2409605",2568,2590,1340,1250,728,1325,537,358,620,272
2015,"MUNICIPIO","2409704",7059,7171,3691,3480,1966,3604,1601,958,1688,834
2015,"MUNICIPIO","2409803",14844,14114,7160,6954,4026,7344,2744,1956,3570,1428
2015,"MUNICIPIO","2409902",14751,13432,6693,6739,3365,7515,2552,1696,3703,1340
2015,"MUNICIPIO","2410009",3761,3453,1729,1724,793,1873,787,375,915,434
2015,"MUNICIPIO","2410108",15139,13949,7057,6892,4088,7458,2403,2006,3632,1254
2015,"MUNICIPIO","2410207",7811,7320,3585,3735,1770,3808,1742,864,1918,953
2015,"MUNICIPIO","2410256",5884,5217,2730,2487,1515,2864,838,695,1376,416
2015,"MUNICIPIO","2410306",9814,8768,4471,4297,2750,4442,1576,1345,2150,802
2015,"MUNICIPIO","2410405",9331,8424,4277,4147,2659,4285,1480,1327,2079,741
2015,"MUNICIPIO","2410504",5040,4692,2328,2364,1139,2460,1093,570,1228,566
2015,"MUNICIPIO","2410603",3213,3063,1537,1526,773,1541,749,385,764,377
2015,"MUNICIPIO","2410702",3485,3165,1617,1548,805,1735,625,385,832,331
2015,"MUNICIPIO","2410801",4278,4156,2073,2083,1046,2086,1024,501,1039,543
2015,"MUNICIPIO","2410900",7863,7067,3560,3507,2086,3664,1317,1010,1813,684
2015,"MUNICIPIO","2411007",4547,4418,2173,2245,1136,2321,961,555,1166,524
2015,"MUNICIPIO","2411056",4019,3687,1847,1840,941,2060,686,480,1017,343
2015,"MUNICIPIO","2411106",3678,3595,1835,1760,969,1863,763,483,878,399
2015,"MUNICIPIO","2411205",38924,35797,17472,18325,9461,19524,6812,4656,9908,3761
2015,"MUNICIPIO","2411403",13605,13809,6869,6940,3097,7505,3207,1531,3696,1713
2015,"MUNICIPIO","2411429",2675,2526,1267,1259,566,1399,561,286,695,278
2015,"MUNICIPIO","2411502",23865,22216,11099,11117,5922,11906,4388,2862,5901,2354
2015,"MUNICIPIO","2411601",2905,2975,1524,1451,843,1551,581,413,751,287
