ANO,NIVEL,CODMUNRES,POPR_RA,POPR_RE
2015,MUNICIPIO,241320,2.859,NA
2015,MUNICIPIO,241330,3.342,NA
2015,MUNICIPIO,241335,607,NA
2015,MUNICIPIO,241340,6.503,5.712
2015,MUNICIPIO,241350,3.918,NA
2015,MUNICIPIO,241355,2.540,NA
2015,MUNICIPIO,241360,3.893,NA
2015,MUNICIPIO,241370,2.698,NA
2015,MUNICIPIO,241380,1.804,NA
2015,MUNICIPIO,241390,7.956,NA
2015,MUNICIPIO,241400,11.951,NA
2015,MUNICIPIO,241410,7.691,NA
2015,MUNICIPIO,241415,4.658,NA
2015,MUNICIPIO,241105,3.090,NA
2015,MUNICIPIO,241420,7.823,3.296
2015,MUNICIPIO,241430,1.821,NA
2015,MUNICIPIO,241440,2.463,NA
2015,MUNICIPIO,241445,2.894,NA
2015,MUNICIPIO,241450,9.219,NA
2015,MUNICIPIO,241460,7.050,NA
2015,MUNICIPIO,241470,4.784,NA
2015,MUNICIPIO,241475,1.293,NA
2015,MUNICIPIO,241480,12.015,NA
2015,MUNICIPIO,241490,1.632,NA
2015,MUNICIPIO,241500,3.021,NA
