ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,MUNICIPIO,2408409,0.585,0.585,NA,NA
2015,MUNICIPIO,2408508,0.645,0.645,NA,NA
2015,MUNICIPIO,2408607,0.589,0.589,NA,NA
2015,MUNICIPIO,2408706,0.603,0.603,NA,NA
2015,MUNICIPIO,2408805,0.549,0.549,NA,NA
2015,MUNICIPIO,2408904,0.676,0.676,NA,NA
2015,MUNICIPIO,2403251,0.766,0.766,NA,NA
2015,MUNICIPIO,2409100,0.606,0.606,NA,NA
2015,MUNICIPIO,2409209,0.589,0.589,NA,NA
2015,MUNICIPIO,2409308,0.618,0.618,NA,NA
2015,MUNICIPIO,2409407,0.678,0.678,NA,NA
2015,MUNICIPIO,2409506,0.559,0.559,NA,NA
2015,MUNICIPIO,2409605,0.558,0.558,NA,NA
2015,MUNICIPIO,2409704,0.583,0.583,NA,NA
2015,MUNICIPIO,2409803,0.568,0.568,NA,NA
2015,MUNICIPIO,2409902,0.631,0.631,NA,NA
2015,MUNICIPIO,2410009,0.614,0.614,NA,NA
2015,MUNICIPIO,2410108,0.587,0.587,NA,NA
2015,MUNICIPIO,2410207,0.621,0.621,NA,NA
2015,MUNICIPIO,2410256,0.59,0.59,NA,NA
2015,MUNICIPIO,2410306,0.563,0.563,NA,NA
2015,MUNICIPIO,2410405,0.567,0.567,NA,NA
2015,MUNICIPIO,2410504,0.608,0.608,NA,NA
2015,MUNICIPIO,2410603,0.654,0.654,NA,NA
2015,MUNICIPIO,2410702,0.584,0.584,NA,NA
2015,MUNICIPIO,2410801,0.591,0.591,NA,NA
2015,MUNICIPIO,2410900,0.592,0.592,NA,NA
2015,MUNICIPIO,2408953,0.569,0.569,NA,NA
2015,MUNICIPIO,2411007,0.604,0.604,NA,NA
2015,MUNICIPIO,2411106,0.605,0.605,NA,NA
2015,MUNICIPIO,2411205,0.635,0.635,NA,NA
2015,MUNICIPIO,2409332,0.59,0.59,NA,NA
2015,MUNICIPIO,2411403,0.591,0.591,NA,NA
2015,MUNICIPIO,2411429,0.642,0.642,NA,NA
2015,MUNICIPIO,2411502,0.62,0.62,NA,NA
2015,MUNICIPIO,2411601,0.555,0.555,NA,NA
2015,MUNICIPIO,2411700,0.595,0.595,NA,NA
2015,MUNICIPIO,2411809,0.608,0.608,NA,NA
2015,MUNICIPIO,2411908,0.628,0.628,NA,NA
2015,MUNICIPIO,2412005,0.661,0.661,NA,NA
2015,MUNICIPIO,2412104,0.655,0.655,NA,NA
2015,MUNICIPIO,2412203,0.611,0.611,NA,NA
2015,MUNICIPIO,2412302,0.615,0.615,NA,NA
2015,MUNICIPIO,2412401,0.694,0.694,NA,NA
2015,MUNICIPIO,2412500,0.606,0.606,NA,NA
2015,MUNICIPIO,2412559,0.591,0.591,NA,NA
2015,MUNICIPIO,2412609,0.622,0.622,NA,NA
2015,MUNICIPIO,2412708,0.589,0.589,NA,NA
2015,MUNICIPIO,2412807,0.611,0.611,NA,NA
2015,MUNICIPIO,2412906,0.585,0.585,NA,NA
2015,MUNICIPIO,2413003,0.642,0.642,NA,NA
2015,MUNICIPIO,2413102,0.583,0.583,NA,NA
2015,MUNICIPIO,2413201,0.57,0.57,NA,NA
2015,MUNICIPIO,2413300,0.582,0.582,NA,NA
2015,MUNICIPIO,2413359,0.614,0.614,NA,NA
2015,MUNICIPIO,2413409,0.597,0.597,NA,NA
2015,MUNICIPIO,2413508,0.592,0.592,NA,NA
2015,MUNICIPIO,2413557,0.598,0.598,NA,NA
2015,MUNICIPIO,2413607,0.604,0.604,NA,NA
2015,MUNICIPIO,2413706,0.572,0.572,NA,NA
2015,MUNICIPIO,2413805,0.612,0.612,NA,NA
2015,MUNICIPIO,2413904,0.569,0.569,NA,NA
2015,MUNICIPIO,2414001,0.608,0.608,NA,NA
2015,MUNICIPIO,2414100,0.592,0.592,NA,NA
2015,MUNICIPIO,2414159,0.623,0.623,NA,NA
2015,MUNICIPIO,2411056,0.635,0.635,NA,NA
2015,MUNICIPIO,2414209,0.645,0.645,NA,NA
2015,MUNICIPIO,2414308,0.64,0.64,NA,NA
2015,MUNICIPIO,2414407,0.572,0.572,NA,NA
2015,MUNICIPIO,2414456,0.602,0.602,NA,NA
2015,MUNICIPIO,2414506,0.618,0.618,NA,NA
2015,MUNICIPIO,2414605,0.596,0.596,NA,NA
2015,MUNICIPIO,2414704,0.626,0.626,NA,NA
2015,MUNICIPIO,2414753,0.555,0.555,NA,NA
2015,MUNICIPIO,2414803,0.587,0.587,NA,NA
2015,MUNICIPIO,2414902,0.592,0.592,NA,NA
2015,MUNICIPIO,2415008,0.576,0.576,NA,NA
