"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"2015","MUNICIPIO","240210","145","56","61","1","25","42","27","27","21","2","0","0","144","20","25","31","26.1241379310345","6.80979967748755","0","5","28","47","3","3","22","1","0","66","0","32","113","62","83","141","4","0","2","2","13","119","8","17","119","8","38.75","40","41","39.3541666666667","2.7519065228473","0","15","3","8","54","145","0","79","66","80","3","0","24","6","23","7","9","1","1","4","0","8","144","1","0","0","0","70","75","49","1","0","93","0","11","121","13","3070","3365","3650","3322.04137931034","544.886951525295","103","26","8","2","143","9.01379310344828","0.999904209971522","0","130"
"2015","MUNICIPIO","240220","549","383","404","13","122","147","139","78","42","7","1","0","536","20","24","29","24.735883424408","6.57920622535336","12","92","214","181","11","28","86","12","0","449","1","246","303","181","368","539","10","0","1","6","66","377","27","73","377","27","38","39","40","38.6981132075472","2.36684393529609","3","128","54","60","248","547","2","320","229","526","14","0","85","45","148","26","79","4","8","10","0","64","537","7","2","2","0","273","276","86","12","0","449","1","46","458","45","2940","3300","3620","3273.01639344262","590.009171728258","345","82","29","6","541","9.3363802559415","1.00375306066231","5","523"
"2015","MUNICIPIO","240230","262","103","106","5","47","64","62","48","27","9","0","0","257","21","25.5","31","26.1603053435114","6.9113896711227","0","23","85","94","12","24","53","5","0","158","0","84","178","118","144","260","0","0","0","6","26","209","12","32","209","12","38","39","40","38.399209486166","2.37603765293474","0","56","17","25","141","140","122","103","153","243","14","0","75","24","58","16","35","5","9","0","0","28","262","0","0","0","0","133","128","53","5","0","158","0","18","236","8","2900","3235","3500","3167.8893129771","559.508452132723","212","19","16","2","258","8.94615384615385","0.738479482011481","4","153"
"2015","MUNICIPIO","240240","96","78","81","0","14","20","35","14","10","3","0","0","96","22","27","30.25","26.7291666666667","6.2331527321618","0","2","19","64","2","6","35","0","0","56","0","19","77","33","63","94","2","0","0","0","16","75","4","16","75","4","37.5","39","39.5","38.4210526315789","2.03991524317264","0","8","2","7","70","70","26","40","56","89","4","0","19","7","20","10","17","3","1","2","0","13","96","0","0","0","0","51","45","35","0","0","58","0","10","79","7","2892.5","3215","3527.5","3170.27083333333","619.556216032542","70","13","9","2","94","9.05208333333333","0.886979400065385","0","95"
"2015","MUNICIPIO","240250","141","73","75","2","23","41","34","28","11","2","0","0","139","21","26","30","25.758865248227","6.37394328409464","1","14","45","56","1","12","26","3","0","85","0","52","89","48","93","138","2","0","0","1","16","113","5","16","111","5","38","39","40","38.4621212121212","2.10925008572401","1","21","19","26","58","129","12","49","92","107","7","0","21","10","30","9","22","3","2","2","0","11","140","0","1","0","0","74","67","27","4","0","88","0","6","116","19","3195","3350","3700","3396.07092198582","526.165762112909","96","29","2","0","141","9.01418439716312","0.315907210672394","0","128"
"2015","MUNICIPIO","240260","1234","958","1003","23","246","295","329","194","116","30","1","0","1211","20","25","30","25.6094003241491","6.71924105006817","14","116","486","446","37","60","251","80","2","883","1","618","616","464","770","1212","21","0","12","18","152","888","67","182","888","67","38","39","40","38.5927880386983","2.74029350712819","5","326","175","138","532","790","444","784","447","1201","25","0","267","94","315","82","153","6","18","21","0","176","1225","6","2","1","0","611","622","252","80","2","883","1","112","1019","103","2940","3280","3620","3236.0510534846","627.488916601019","827","178","82","15","1212","8.90220048899756","0.64133327342476","13","1218"
"2015","MUNICIPIO","240270","126","101","103","0","27","26","40","25","7","1","0","0","126","20","25.5","30","25.3730158730159","5.90285914042899","0","8","39","66","3","6","29","3","0","88","0","21","105","52","74","124","2","0","4","0","11","104","6","15","104","6","38","39","40","38.288","3.10258996906279","0","19","9","11","77","97","29","71","55","113","6","0","35","7","42","6","10","3","3","2","0","10","122","2","0","2","0","61","65","30","3","0","90","0","14","106","6","2916.25","3185","3500","3123.44444444444","655.917294244396","100","12","11","2","122","8.76612903225806","1.02892216845774","1","119"
"2015","MUNICIPIO","240280","96","43","46","1","23","22","28","12","8","2","0","0","95","19.75","25","29","25.0729166666667","6.3977706506443","0","6","23","25","0","4","10","0","0","47","0","15","81","38","58","96","0","0","1","0","9","77","7","10","77","7","39","40","41","39.6382978723404","2.3639363191657","0","11","3","3","36","95","1","49","47","56","2","0","15","2","21","3","5","1","1","0","0","8","95","0","0","1","0","46","50","24","0","0","71","0","6","84","6","3030","3397.5","3602.5","3330.35416666667","462.84518223624","75","10","6","1","94","9.08421052631579","1.01753935461283","2","87"
"2015","MUNICIPIO","240290","61","46","49","0","10","18","10","13","8","2","0","0","61","22","25","31","26.672131147541","6.73478856751868","0","3","20","27","1","6","22","2","0","35","0","19","42","23","38","59","2","0","2","0","2","51","2","4","51","2","37","38","39","37.9298245614035","3.00511260261341","2","8","3","8","37","61","0","14","47","60","0","0","13","7","6","8","16","0","0","2","0","4","61","0","0","0","0","33","28","22","2","0","35","0","7","52","2","2780","3200","3500","3048.98360655738","719.520082921093","44","4","6","1","60","9.26229508196721","1.0786046440388","0","59"
"2015","MUNICIPIO","240300","95","75","77","1","17","16","21","29","9","2","0","0","94","21","28","32","27.0315789473684","6.63237166203628","1","5","30","49","2","6","37","4","0","54","0","30","65","33","62","93","2","0","2","0","9","80","4","11","80","4","38","39","39","38.2947368421053","2.44023753731514","0","9","7","13","52","94","1","31","64","93","2","0","19","10","31","6","16","1","1","2","0","9","95","0","0","0","0","42","53","37","4","0","54","0","9","82","4","2935","3330","3620","3205.35789473684","607.216248692648","77","10","6","2","93","8.8421052631579","0.841930272971861","0","91"
"2015","MUNICIPIO","240310","521","420","430","4","72","129","134","108","62","11","1","0","517","22","27","32","26.8829174664107","6.59834739878844","4","22","138","269","20","57","188","5","1","306","0","72","449","221","300","519","2","0","1","3","56","414","38","60","414","38","38","39","40","38.7421875","2.19765430454156","1","91","47","40","303","102","419","189","332","501","7","0","145","42","130","27","93","4","3","2","0","53","521","0","0","0","0","278","243","190","5","1","310","0","37","445","39","2955","3260","3590","3246.24760076775","567.208496904427","399","61","39","6","515","8.80038387715931","0.7033435576212","6","490"
"2015","MUNICIPIO","240320","96","85","85","0","17","31","26","14","7","1","0","0","96","21","24.5","28.25","25.28125","6.13995221136897","0","5","29","48","3","8","52","0","0","43","0","27","69","44","52","96","0","0","0","1","5","86","2","6","86","2","38","38","39","38.3297872340426","1.62234595751239","0","6","7","11","67","96","0","13","83","95","1","0","21","22","4","17","24","0","1","0","0","5","96","0","0","0","0","53","43","52","0","0","43","0","7","85","4","2820","3070","3400","3105.69791666667","496.294079199264","76","6","11","0","96","9.22916666666667","0.46969568348849","2","94"
"2015","MUNICIPIO","240325","4149","3267","3369","26","553","885","1130","964","493","91","6","1","4122","22","27","32","27.2427090865269","6.44288368892331","17","211","921","1830","297","856","1291","82","4","2661","3","851","3298","1747","2402","4068","75","5","16","37","462","3426","143","520","3426","143","38","39","40","38.4764000978234","2.28701198688177","17","1188","269","255","2181","1287","2862","1344","2801","3939","168","6","837","587","684","370","910","70","77","74","6","440","4138","4","6","1","0","2069","2076","1291","82","4","2661","3","367","3496","286","2935","3280","3595","3231.47264401061","591.035208088214","3137","553","258","43","4095","8.95456742387627","0.668258676061292","55","3693"
"2015","MUNICIPIO","240330","81","63","66","0","20","26","20","7","8","0","0","0","81","20","23","28","24.5061728395062","6.03556844213974","0","8","24","37","5","7","36","3","0","39","0","20","61","42","39","76","2","0","3","2","7","65","2","12","65","2","37","38","39","37.746835443038","3.24814879991973","0","6","12","8","45","81","0","21","57","78","0","0","24","12","14","3","12","0","0","2","0","10","81","0","0","0","0","36","45","36","3","0","39","0","7","73","1","2855","3210","3500","3148.67901234568","601.867070605306","55","14","5","2","79","9.2716049382716","1.2650330596373","1","80"
"2015","MUNICIPIO","240340","67","43","48","2","15","12","18","13","7","0","0","0","65","19.5","27","31","25.6567164179104","6.47501547630295","0","9","27","25","1","4","33","1","0","32","0","44","23","19","48","64","2","0","0","0","2","51","4","2","51","4","39","39","40","39.4210526315789","1.72116414529167","0","9","4","3","34","52","15","43","23","61","2","1","13","4","21","4","6","1","1","1","1","2","67","0","0","0","0","30","37","34","1","0","32","0","4","59","4","3010","3265","3600","3290.67164179104","526.9177783039","39","8","4","2","65","9.1044776119403","1.03183168051549","0","62"
"2015","MUNICIPIO","240350","110","76","79","3","20","28","29","17","10","3","0","0","107","20","25","30","25.5727272727273","6.87697806860907","2","19","38","44","0","2","17","0","0","92","0","43","67","50","60","107","2","0","0","3","12","79","7","15","79","7","38","39","40","38.6633663366337","2.59721861891822","0","20","11","9","55","110","0","53","54","101","4","0","26","13","25","2","12","2","2","2","0","13","109","1","0","0","0","55","55","17","0","0","92","0","9","92","9","2815","3177.5","3512.5","3166.4","608.516608142556","78","11","9","2","108","9.1","1.04002469977726","1","104"
"2015","MUNICIPIO","240360","568","420","442","9","88","139","152","112","57","11","0","0","559","21","26","31","26.2588028169014","6.54262323891662","4","44","169","251","18","29","114","34","0","392","0","321","247","200","368","552","13","1","7","2","51","445","33","61","445","33","38","39","40","38.6400742115028","2.64581257046889","2","147","72","60","248","437","131","316","249","553","12","0","101","61","170","60","76","1","9","13","0","46","565","1","1","1","0","283","284","114","34","0","392","0","40","476","52","2968.75","3297.5","3630","3261.44718309859","640.555846605054","396","83","33","10","557","8.90123456790123","0.85573221576186","5","562"
