"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"MUNICIPIO","240100",36189,34763,17376,17387,7763,20055,6945,3771,9971,3645,0.639,0.639,NA,NA,438,325,333,3,77,114,114,86,31,13,0,0,435,21,26,31,26.0205479452055,6.35394165282026,2,38,101,232,23,36,81,0,0,315,0,102,336,248,190,428,9,1,1,4,35,380,8,41,380,8,38,38,39,38.1724941724942,2.062819180194,0,83,35,52,196,131,307,64,372,427,9,1,140,80,57,20,82,4,3,9,1,34,438,0,0,0,0,211,227,81,0,0,315,0,24,390,24,2950,3250,3500,3219.43607305936,520.628329482807,344,52,18,7,431,8.99086757990868,0.659317083617387,3,434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18.584,NA,43.9273894293451,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240110",27356,25315,12345,12970,6131,14127,5057,3018,7141,2811,0.682,0.682,NA,NA,414,253,268,2,92,117,93,73,34,3,0,0,412,20,24,30,25.1086956521739,6.36997130072335,2,16,118,227,15,25,57,6,0,252,0,153,261,172,242,399,12,0,3,10,47,318,20,60,318,20,38,39,40,38.427135678392,2.52911855030456,2,76,49,63,176,402,12,122,290,393,14,1,100,35,83,27,76,7,5,11,1,50,413,1,0,0,0,224,190,57,6,0,252,0,38,355,21,2907.5,3240,3540,3183.92512077295,609.290435320652,313,43,23,5,404,9.00977995110024,0.622221037965812,2,405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21.955,NA,57.975073519115,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240120",14042,12924,6410,6514,3570,7148,2206,1757,3581,1176,0.606,0.606,NA,NA,202,144,145,2,47,56,49,32,13,3,0,0,200,20,24,29,24.5693069306931,6.26271034064306,2,24,74,88,6,4,28,8,0,166,0,81,121,69,133,202,0,0,2,2,20,152,9,24,152,9,38,39,40,38.5675675675676,2.50586855267595,2,58,17,15,84,201,1,123,79,192,7,0,42,10,53,15,34,3,4,0,0,21,198,4,0,0,0,104,98,28,8,0,166,0,18,168,16,2855.5,3260,3580,3206.4603960396,599.044098340895,150,20,14,3,199,9.31188118811881,0.802209278871193,4,185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8.876,NA,56.40882435074,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240130",9716,9289,4708,4581,2375,4963,1951,1171,2404,1006,0.621,0.621,NA,NA,119,57,59,2,19,34,25,22,12,5,0,0,117,20,25,32,26.0252100840336,7.09554907620114,0,10,51,39,4,6,25,0,0,69,0,54,65,48,71,117,2,0,3,3,7,91,9,13,91,9,38,39,40,38.5398230088496,3.34886814096006,0,24,12,17,57,117,2,61,57,114,3,0,35,6,35,10,11,1,2,2,0,11,115,4,0,0,0,69,50,25,0,0,69,0,7,101,11,3100,3380,3692.5,3298.82352941176,663.936688413388,76,24,6,3,114,8.88034188034188,0.744663695933447,1,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5.232,NA,49.5008319467554,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240140",9182,8573,4333,4240,2462,4678,1433,1200,2295,745,0.609,0.609,NA,NA,115,67,68,0,30,28,27,20,8,2,0,0,115,19,24,30,24.8869565217391,6.47365134283732,0,10,45,45,4,4,13,2,1,96,0,42,73,49,66,111,4,0,0,2,9,81,2,11,81,2,38,39,40,38.4574468085106,2.31713993904991,2,25,4,10,54,114,1,69,46,110,1,0,28,7,27,3,11,0,1,4,0,9,112,1,1,1,0,57,58,13,2,1,96,0,13,94,8,2857.5,3220,3508,3160.01739130435,586.068719140118,73,9,8,5,108,9.15929203539823,1.18447073534234,3,109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7.634,NA,50.1089324618736,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240145",27238,24182,12271,11911,7209,13352,3621,3599,6493,1819,0.574,0.574,NA,NA,437,273,291,8,105,118,108,64,28,6,0,0,429,19,24,29,24.4118993135011,6.30637112745344,3,33,204,161,14,17,71,2,0,262,1,216,221,180,257,418,18,0,3,9,58,326,22,70,324,22,37,39,40,38.2091346153846,2.74665416986249,1,79,38,38,229,432,5,131,305,401,23,0,106,34,72,15,94,6,11,18,0,51,434,1,1,1,0,229,208,72,2,0,263,1,53,364,20,2830,3200,3456,3107,605.58093270433,326,40,20,6,429,9.01149425287356,0.673635382401426,7,418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,17.132,NA,67.303249653473,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240150",4066,3950,2020,1930,1002,2009,939,492,963,475,0.566,0.566,NA,NA,46,22,24,2,5,6,16,10,5,2,0,0,44,23.25,27,31.75,27.3260869565217,6.81845322252973,0,5,13,6,1,6,8,1,0,22,1,16,30,18,28,44,2,0,1,0,8,33,4,8,31,3,37.25,39.5,41,38.7619047619048,3.11416530577362,0,8,3,3,16,42,4,24,22,30,1,0,7,6,6,4,1,0,1,2,0,4,42,2,0,1,0,18,28,12,1,0,32,1,8,36,2,2657.5,3040,3358.75,2997.21739130435,645.104295204133,30,3,6,4,41,8.68888888888889,1.31117959074717,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3.861,NA,47.7673935617861,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240160",5458,5113,2630,2483,1487,2664,962,737,1287,459,0.582,0.582,NA,NA,63,43,47,0,12,19,19,8,3,2,0,0,63,21,25,29,25.5079365079365,6.01308523641731,1,9,27,17,0,3,9,0,0,54,0,40,23,20,43,63,0,1,0,1,3,50,5,5,50,5,38,39,40.25,39,3.41978292501692,0,13,6,9,30,63,0,42,21,63,0,0,14,4,29,4,4,0,0,0,0,5,63,0,0,0,0,29,34,9,0,0,54,0,6,53,4,2860,3255,3585,3220.79365079365,552.864860076515,42,7,7,0,62,8.88709677419355,0.366858113890273,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.277,NA,48.951048951049,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240165",2358,2425,1260,1165,655,1337,433,307,634,224,0.629,0.629,NA,NA,49,39,39,0,13,14,16,3,1,1,1,0,49,19,24,27,24.2040816326531,6.50634175195227,0,2,22,20,2,3,19,0,1,28,0,8,41,24,25,49,0,0,0,0,1,46,1,1,46,1,38,39,40,39.1041666666667,1.65336000035689,0,10,1,4,31,49,0,17,31,45,0,1,18,5,12,4,5,0,0,0,1,0,49,0,0,0,0,23,26,19,0,1,28,0,2,45,2,3100,3305,3585,3290.34693877551,438.575371279005,41,4,2,0,48,8.79166666666667,0.682870453847279,1,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.367,NA,77.2870662460568,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240170",10114,9440,4708,4732,2664,4857,1919,1307,2432,993,0.584,0.584,NA,NA,113,55,58,2,25,25,26,22,9,4,0,0,111,20,25,30,25.8141592920354,6.86547869593953,3,14,25,29,1,1,11,5,0,59,0,25,88,42,71,113,0,0,1,0,16,82,12,17,82,12,38,40,41,39.2882882882883,2.69810501644593,0,15,4,6,39,110,3,63,50,70,2,0,12,6,20,6,12,0,2,0,0,14,110,3,0,0,0,56,57,27,5,0,81,0,11,89,13,2995,3296,3715,3310.30088495575,582.238535508732,83,16,9,0,112,9.0625,0.604506350610089,2,104,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7.387,NA,46.4638157894737,0,0,0,0,0,0,0,0
